period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
156,75628633,7990878,1304060,100662,84057786,19,19528,13791,238520,21555731,1882,206992,4152,17.77
157,76133919,8079626,1308639,100662,135497512,19,19528,13791,240039,21765762,1882,206992,4152,14.31
158,76624263,8081049,1317363,100662,136462757,19,19528,13791,241741,21797342,1882,206992,4152,0.23
159,77196156,8152452,1328689,100662,85477001,19,19528,13791,243069,21970307,1882,206992,4152,11.49
160,77668646,8232579,1340013,100662,138021952,19,19528,13791,244535,22165653,1882,206992,4152,12.85
161,78188265,8237003,1355859,100662,139045313,19,19528,13791,246339,22203735,1882,206992,4152,0.43
162,78792340,8353446,1368920,100662,139727095,19,19528,13791,247515,22468274,1882,206992,4152,18.39
163,79267542,8373416,1379688,100662,140658016,19,19528,13791,248929,22536246,1882,206992,4152,3.45
164,79729091,8374865,1382601,100662,141621313,19,19528,13791,251040,22568608,1882,206992,4152,0.24
165,80173430,8385540,1397174,100662,142564730,19,19528,13791,252755,22616381,1882,206992,4152,1.27
166,80781929,8495262,1408424,100662,88917968,19,19528,13791,253858,22867525,1882,206992,4152,17.93
167,81381950,8606744,1419031,100662,89285166,19,19528,13791,255228,23125123,1882,206992,4152,18.06
168,81833967,8634966,1430736,100662,144852670,19,19528,13791,256915,23213135,1882,206992,4152,4.58
169,82303340,8656240,1441559,100662,145777716,19,19528,13791,258759,23280570,1882,206992,4152,3.00
170,82914578,8769548,1444182,100662,146443175,19,19528,13791,259953,23546989,1882,206992,4152,18.67
171,83328411,8784861,1449333,100662,147372183,19,19528,13791,261400,23613542,1882,206992,4152,2.93
172,83866767,8862877,1459910,100662,148136758,19,19528,13791,262773,23800389,1882,206992,4152,12.31
173,84353629,8888342,1470689,100662,149048423,19,19528,13791,264420,23881384,1882,206992,4152,4.32
174,84790384,8890051,1479311,100662,150017104,19,19528,13791,266037,23910917,1882,206992,4152,0.26
175,85273757,8915367,1489705,100662,150928463,19,19528,13791,267895,23989008,1882,206992,4152,3.96
176,85881505,9029899,1492583,100662,151604351,19,19528,13791,269179,24250440,1882,206992,4152,17.99
177,86468672,9132829,1496775,100662,152308872,19,19528,13791,270275,24489595,1882,206992,4152,16.64
178,86912073,9142591,1507054,100662,153255526,19,19528,13791,272099,24540671,1882,206992,4152,1.59
179,87345836,9144084,1522930,100662,154228966,19,19528,13791,273732,24571261,1882,206992,4152,0.24
period,tiT,experiment_runn,measurer,main,IDLE,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,10095,473,341,99331,4454172,18,19541,24540,4009,707879,1881,206992,4152,0.01
1,13097,885,9847,99331,4623742,18,19541,24540,5254,719945,1881,206992,4152,0.00
2,13874,885,12458,99331,5610768,18,19541,24540,6422,731526,1881,206992,4152,0.00
3,71223,21161,15045,99331,6550779,18,19541,24540,7977,779452,1881,206992,4152,1.98
4,211156,100126,17851,99331,7352543,18,19541,24540,9414,932924,1881,206992,4152,10.31
5,421182,160691,25754,99331,8996397,18,19541,24540,10869,1066165,1881,206992,4152,8.69
6,587578,201624,37010,99331,9079842,18,19541,24540,12479,1163231,1881,206992,4152,5.68
7,821713,282634,39915,99331,9851361,18,19541,24540,14026,1340854,1881,206992,4152,12.06
8,1000938,323764,42496,99331,10731081,18,19541,24540,15511,1434617,1881,206992,4152,5.68
9,1220554,397279,45569,99331,11531465,18,19541,24540,16880,1593820,1881,206992,4152,10.71
10,1303850,398029,48703,99331,12507552,18,19541,24540,18478,1614124,1881,206992,4152,0.12
11,1598959,511188,52031,99331,13708681,18,19541,24540,19773,1846678,1881,206992,4152,16.25
12,1814966,590205,54862,99331,13988426,18,19541,24540,21380,2022563,1881,206992,4152,11.67
13,1916940,600475,57425,99331,14936886,18,19541,24540,22836,2066081,1881,206992,4152,1.80
14,2027006,601953,60484,99331,15908998,18,19541,24540,24565,2089225,1881,206992,4152,0.20
15,2118789,608458,63542,99331,16868688,18,19541,24540,26327,2121822,1881,206992,4152,0.80
16,2458780,763771,66197,99331,17478274,18,19541,24540,27511,2429930,1881,206992,4152,22.43
17,2722572,855977,68590,99331,18229385,18,19541,24540,28893,2627431,1881,206992,4152,13.60
18,2805372,857535,71703,99331,19199742,18,19541,24540,30740,2652973,1881,206992,4152,0.20
19,2887362,859067,74811,99331,20172402,18,19541,24540,32397,2675230,1881,206992,4152,0.20
20,3180310,978312,77916,99331,20859807,18,19541,24540,33595,2917738,1881,206992,4152,17.12
21,3456457,1103966,80626,99331,21539259,18,19541,24540,34867,3169815,1881,206992,4152,17.77
22,3554209,1114825,83854,99331,22484508,18,19541,24540,36403,3213519,1881,206992,4152,1.80
23,3673862,1116436,86462,99331,23457037,18,19541,24540,37916,3236825,1881,206992,4152,0.23
24,3808283,1163468,89576,99331,24319090,18,19541,24540,39502,3342179,1881,206992,4152,6.60
25,4160282,1323919,92440,99331,24910021,18,19541,24540,40683,3664089,1881,206992,4152,23.00
26,4327937,1350348,95601,99331,25813962,18,19541,24540,42306,3743282,1881,206992,4152,4.33
27,4546367,1433865,98752,99331,26580595,18,19541,24540,43928,3922899,1881,206992,4152,12.27
28,4664349,1461457,101358,99331,27481625,18,19541,24540,45609,4002320,1881,206992,4152,4.33
29,4931792,1549994,104490,99331,28243129,18,19541,24540,47178,4189238,1881,206992,4152,12.55
30,5072256,1583131,107308,99331,29133503,18,19541,24540,48898,4279494,1881,206992,4152,5.14
31,5299040,1665605,110899,99331,29612707,18,19541,24540,50256,4451214,1881,206992,4152,11.73
32,5532058,1727015,122145,99331,30760631,18,19541,24540,51945,4600783,1881,206992,4152,9.56
33,5680525,1782065,125282,99331,31221426,18,19541,24540,53815,4727577,1881,206992,4152,8.17
34,5827056,1836681,128354,99331,32440684,18,19541,24540,55402,4855388,1881,206992,4152,8.09
35,5967619,1897587,131064,99331,33273429,18,19541,24540,56872,4989855,1881,206992,4152,8.56
36,6107134,1948131,134198,99331,34116543,18,19541,24540,58483,5111885,1881,206992,4152,7.56
37,6296806,2005485,137343,99331,34945656,18,19541,24540,60128,5249051,1881,206992,4152,8.64
38,6443973,2063798,140036,99331,35776508,18,19541,24540,61750,5385714,1881,206992,4152,8.44
39,6591714,2115994,143631,99331,36197932,18,19541,24540,63240,5511044,1881,206992,4152,7.86
40,6761639,2175549,146685,99331,37008039,18,19541,24540,64628,5645590,1881,206992,4152,8.63
41,6899089,2233760,149433,99331,38290712,18,19541,24540,66294,5776859,1881,206992,4152,8.30
42,7031847,2285216,152563,99331,39139379,18,19541,24540,67955,5898163,1881,206992,4152,7.56
43,7180552,2345759,155714,99331,39967109,18,19541,24540,69510,6033561,1881,206992,4152,8.64
44,7326294,2399368,159082,99331,40368996,18,19541,24540,71046,6157528,1881,206992,4152,7.85
45,7486383,2465070,162026,99331,41630479,18,19541,24540,72512,6301236,1881,206992,4152,9.37
46,7666711,2516718,164882,99331,42480792,18,19541,24540,74271,6422641,1881,206992,4152,7.57
47,7810422,2576383,168016,99331,43308302,18,19541,24540,75932,6559040,1881,206992,4152,8.64
48,7945015,2634564,171262,99331,43665415,18,19541,24540,77387,6692673,1881,206992,4152,8.43
49,8112533,2688294,177642,99331,44987835,18,19541,24540,78842,6817328,1881,206992,4152,7.76
50,8250131,2739807,180775,99331,45838287,18,19541,24540,80550,6935379,1881,206992,4152,7.56
51,8380374,2799963,183582,99331,46667235,18,19541,24540,82282,7071393,1881,206992,4152,8.63
52,8532953,2859393,186723,99331,47493812,18,19541,24540,83814,7209953,1881,206992,4152,8.64
53,8657872,2919058,189849,99331,48322230,18,19541,24540,85226,7343273,1881,206992,4152,8.63
54,8790081,2978178,192983,99331,49149112,18,19541,24540,86704,7473869,1881,206992,4152,8.39
55,8933722,3030359,195692,99331,49998314,18,19541,24540,88166,7595466,1881,206992,4152,7.63
56,9072271,3082988,198241,99331,50844684,18,19541,24540,89711,7715412,1881,206992,4152,7.56
57,9221571,3147166,201489,99331,51217934,18,19541,24540,91288,7855575,1881,206992,4152,9.13
58,9383853,3204738,212012,99331,52050545,18,19541,24540,93075,7993886,1881,206992,4152,8.54
59,9530909,3260026,214788,99331,53348308,18,19541,24540,94547,8122912,1881,206992,4152,8.23
60,9680914,3316069,217925,99331,54188030,18,19541,24540,96250,8250125,1881,206992,4152,8.11
61,9815785,3372068,220963,99331,55027169,18,19541,24540,97909,8376738,1881,206992,4152,8.08
62,9966599,3431440,223534,99331,55860233,18,19541,24540,99474,8511003,1881,206992,4152,8.63
63,10123727,3490335,226661,99331,56681176,18,19541,24540,101114,8647809,1881,206992,4152,8.64
64,10266463,3544413,229786,99331,57533260,18,19541,24540,102581,8765233,1881,206992,4152,7.56
65,10423516,3598135,233129,99331,58375893,18,19541,24540,104257,8892148,1881,206992,4152,8.04
66,10589946,3663373,236018,99331,59197705,18,19541,24540,105643,9034428,1881,206992,4152,9.23
67,10738738,3714217,238522,99331,60044404,18,19541,24540,107197,9156643,1881,206992,4152,7.56
68,10878902,3772061,241672,99331,60874239,18,19541,24540,108645,9289965,1881,206992,4152,8.63
69,11031705,3826462,244806,99331,61712701,18,19541,24540,110238,9419142,1881,206992,4152,8.27
70,11164765,3882019,247932,99331,62551291,18,19541,24540,111905,9546662,1881,206992,4152,7.92
71,11311717,3938827,251104,99331,62857205,18,19541,24540,113524,9673333,1881,206992,4152,8.00
72,11454658,4002400,254053,99331,64216436,18,19541,24540,115008,9812925,1881,206992,4152,9.17
73,11605301,4054297,256668,99331,65059824,18,19541,24540,116660,9938559,1881,206992,4152,7.65
74,11745004,4112496,259704,99331,65893687,18,19541,24540,118492,10072489,1881,206992,4152,8.43
75,11902131,4170963,262691,99331,66725165,18,19541,24540,120118,10208368,1881,206992,4152,8.61
76,12031836,4224672,265778,99331,67557505,18,19541,24540,121775,10332109,1881,206992,4152,7.78
77,12173722,4283383,268916,99331,68387861,18,19541,24540,123195,10467554,1881,206992,4152,8.64
78,12335287,4334925,274828,99331,68718479,18,19541,24540,124675,10589703,1881,206992,4152,7.67
79,12466218,4396180,277938,99331,70058521,18,19541,24540,126312,10723947,1881,206992,4152,8.52
80,12601282,4451065,281359,99331,70894690,18,19541,24540,127948,10854734,1881,206992,4152,8.29
81,12760840,4515225,290208,99331,71728978,18,19541,24540,129530,10992180,1881,206992,4152,8.92
82,12888190,4569270,292911,99331,72572458,18,19541,24540,131271,11112748,1881,206992,4152,7.55
83,13030131,4629135,295862,99331,73399776,18,19541,24540,132685,11250484,1881,206992,4152,8.64
84,13174474,4682772,299421,99331,74241465,18,19541,24540,134237,11377857,1881,206992,4152,7.97
85,13306176,4736233,302132,99331,75083048,18,19541,24540,135865,11504722,1881,206992,4152,7.90
86,13454740,4798371,305132,99331,75908176,18,19541,24540,137376,11644653,1881,206992,4152,8.96
87,13612800,4853372,316201,99331,76762941,18,19541,24540,139041,11770927,1881,206992,4152,8.01
88,13749001,4910314,318910,99331,77113206,18,19541,24540,140567,11901300,1881,206992,4152,8.34
89,13894648,4968149,321888,99331,78436809,18,19541,24540,142008,12033462,1881,206992,4152,8.38
90,14018627,5020180,325022,99331,79281614,18,19541,24540,143631,12153942,1881,206992,4152,7.55
91,14158776,5076993,328165,99331,80117620,18,19541,24540,145063,12284913,1881,206992,4152,8.37
92,14305862,5141094,330702,99331,80940334,18,19541,24540,146629,12423125,1881,206992,4152,8.80
93,14431486,5193326,333844,99331,81789483,18,19541,24540,148226,12544131,1881,206992,4152,7.56
94,14563544,5252321,336865,99331,82623510,18,19541,24540,149752,12679468,1881,206992,4152,8.63
95,14713044,5312006,340009,99331,83451448,18,19541,24540,151291,12815252,1881,206992,4152,8.64
96,14833404,5365051,343310,99331,84297909,18,19541,24540,152917,12935979,1881,206992,4152,7.56
97,14968694,5424776,346624,99331,85125308,18,19541,24540,154460,13071481,1881,206992,4152,8.64
98,15093417,5478338,349934,99331,85973416,18,19541,24540,156024,13189573,1881,206992,4152,7.56
99,15226749,5536463,352932,99331,86798161,18,19541,24540,157833,13329047,1881,206992,4152,8.63
100,15361512,5596141,356241,99331,87628439,18,19541,24540,159366,13462318,1881,206992,4152,8.63
101,15513068,5654006,359539,99331,88456321,18,19541,24540,160993,13598778,1881,206992,4152,8.64
102,15627286,5708888,362853,99331,89296906,18,19541,24540,162595,13724828,1881,206992,4152,8.06
103,15751958,5766295,365546,99331,90136432,18,19541,24540,164119,13853887,1881,206992,4152,8.07
104,15900704,5823562,368682,99331,90966759,18,19541,24540,165936,13990285,1881,206992,4152,8.64
105,16035456,5875733,371981,99331,91813699,18,19541,24540,167497,14110732,1881,206992,4152,7.56
106,16159211,5931767,375460,99331,92326475,18,19541,24540,169109,14239978,1881,206992,4152,8.17
107,16333207,5993870,378315,99331,93470459,18,19541,24540,170778,14381931,1881,206992,4152,9.05
108,16455611,6047773,381596,99331,94316918,18,19541,24540,172250,14500328,1881,206992,4152,7.55
109,16604834,6106248,384906,99331,95145553,18,19541,24540,173823,14636212,1881,206992,4152,8.63
110,16764096,6163092,387952,99331,95981737,18,19541,24540,175511,14772468,1881,206992,4152,8.64
111,16889245,6214933,391253,99331,96829512,18,19541,24540,177213,14892958,1881,206992,4152,7.55
112,17027672,6270071,394983,99331,97347405,18,19541,24540,178708,15021996,1881,206992,4152,8.11
113,17194955,6330861,397956,99331,98484927,18,19541,24540,180490,15165887,1881,206992,4152,9.16
114,17343125,6380953,400577,99331,99331080,18,19541,24540,182045,15287875,1881,206992,4152,7.56
115,17477384,6441422,403887,99331,100157684,18,19541,24540,183622,15422141,1881,206992,4152,8.63
116,17638243,6502503,408040,99331,100993060,18,19541,24540,185085,15555232,1881,206992,4152,8.64
117,17764282,6555028,411343,99331,101839142,18,19541,24540,186682,15675189,1881,206992,4152,7.55
118,17896380,6607469,414864,99331,102381906,18,19541,24540,188271,15798657,1881,206992,4152,7.95
119,18058374,6670592,425797,99331,103514723,18,19541,24540,189757,15947196,1881,206992,4152,9.32
120,18197970,6728437,429125,99331,104344318,18,19541,24540,191127,16079529,1881,206992,4152,8.42
121,18340234,6783330,436257,99331,104900826,18,19541,24540,192695,16204248,1881,206992,4152,7.77
122,18487514,6842317,443373,99331,106026818,18,19541,24540,194091,16339210,1881,206992,4152,8.63
123,18615376,6893399,446671,99331,106874776,18,19541,24540,195711,16459350,1881,206992,4152,7.56
124,18770063,6954255,450189,99331,107412745,18,19541,24540,197484,16597351,1881,206992,4152,8.76
125,18895378,7006483,453229,99331,108558036,18,19541,24540,199079,16710667,1881,206992,4152,7.44
126,19052187,7070502,455638,99331,109381981,18,19541,24540,200520,16853855,1881,206992,4152,9.68
127,19200808,7125991,458391,99331,110232158,18,19541,24540,202146,16976665,1881,206992,4152,7.60
128,19343060,7185332,461691,99331,111059683,18,19541,24540,203756,17114516,1881,206992,4152,8.63
129,19484862,7244338,464988,99331,111884083,18,19541,24540,205390,17249873,1881,206992,4152,8.64
130,19647595,7295461,468287,99331,112728242,18,19541,24540,206956,17372487,1881,206992,4152,7.91
131,19787975,7346790,471217,99331,113583613,18,19541,24540,208602,17491965,1881,206992,4152,7.20
132,19936436,7409847,474002,99331,114397598,18,19541,24540,210043,17636719,1881,206992,4152,9.26
133,20107789,7462546,480753,99331,115246289,18,19541,24540,211734,17763025,1881,206992,4152,7.84
134,20241063,7524483,483494,99331,116069629,18,19541,24540,213347,17903201,1881,206992,4152,8.68
135,20379717,7584620,491620,99331,116898296,18,19541,24540,214828,18039030,1881,206992,4152,8.64
136,20531449,7639019,502460,99331,117464854,18,19541,24540,216307,18167174,1881,206992,4152,8.35
137,20656824,7695328,505257,99331,118591044,18,19541,24540,217796,18292362,1881,206992,4152,7.82
138,20785894,7749288,508561,99331,119441327,18,19541,24540,219200,18410620,1881,206992,4152,7.56
139,20924642,7814730,511947,99331,120256838,18,19541,24540,220721,18554504,1881,206992,4152,9.40
140,21071373,7869105,514633,99331,121095569,18,19541,24540,222655,18682720,1881,206992,4152,7.79
141,21239332,7927048,518032,99331,121922628,18,19541,24540,224238,18818739,1881,206992,4152,8.64
142,21360193,7980359,521432,99331,122764115,18,19541,24540,225940,18942626,1881,206992,4152,7.88
143,21497194,8037141,524832,99331,123599462,18,19541,24540,227602,19071548,1881,206992,4152,8.30
144,21638088,8087249,528216,99331,124448488,18,19541,24540,229281,19190620,1881,206992,4152,7.56
145,21820636,8145168,531622,99331,125281131,18,19541,24540,230869,19323407,1881,206992,4152,8.64
146,21973721,8203535,535012,99331,126110165,18,19541,24540,232663,19458664,1881,206992,4152,8.63
147,22134456,8263613,537962,99331,126935750,18,19541,24540,234365,19594652,1881,206992,4152,8.63
148,22252777,8316189,541367,99331,127784175,18,19541,24540,236076,19713668,1881,206992,4152,7.55
149,22403594,8373872,544771,99331,128614763,18,19541,24540,237700,19848412,1881,206992,4152,8.63
150,22587817,8431765,548162,99331,129438776,18,19541,24540,239495,19986145,1881,206992,4152,8.64
151,22717805,8484681,551417,99331,130289277,18,19541,24540,241166,20105428,1881,206992,4152,7.55
152,22856068,8538373,555069,99331,130818190,18,19541,24540,242759,20228208,1881,206992,4152,7.95
153,23037516,8602961,557955,99331,131953763,18,19541,24540,244275,20375606,1881,206992,4152,9.29
154,23180037,8656113,561344,99331,132794922,18,19541,24540,246006,20498877,1881,206992,4152,7.79
155,23334695,8713885,564129,99331,133631469,18,19541,24540,247803,20632370,1881,206992,4152,8.30
156,23512386,8775091,567513,99331,134460165,18,19541,24540,249300,20768301,1881,206992,4152,8.64
157,23655602,8828738,570901,99331,135307821,18,19541,24540,250892,20890656,1881,206992,4152,7.56
158,23794920,8879209,574270,99331,136158735,18,19541,24540,252419,21010663,1881,206992,4152,7.55
159,23970787,8945702,577949,99331,136551162,18,19541,24540,254012,21160761,1881,206992,4152,9.72
160,24108941,8995924,581042,99331,137812317,18,19541,24540,255639,21284882,1881,206992,4152,7.56
161,24267542,9055404,584534,99331,138642518,18,19541,24540,257124,21420394,1881,206992,4152,8.64
162,24435823,9115386,598776,99331,139472376,18,19541,24540,258587,21553730,1881,206992,4152,8.64
163,24569474,9167842,602164,99331,140319325,18,19541,24540,260335,21672758,1881,206992,4152,7.56
164,24720916,9226894,604887,99331,141147026,18,19541,24540,261851,21808829,1881,206992,4152,8.64
165,24888490,9285835,608275,99331,141977464,18,19541,24540,263364,21942746,1881,206992,4152,8.64
166,25013998,9336168,611670,99331,142825578,18,19541,24540,265040,22062350,1881,206992,4152,7.30
167,25175428,9398175,614992,99331,143650466,18,19541,24540,266654,22199582,1881,206992,4152,8.88
168,25333479,9452934,620353,99331,144510100,18,19541,24540,268085,22323993,1881,206992,4152,7.97
169,25468811,9509275,623769,99331,145347651,18,19541,24540,269695,22453411,1881,206992,4152,8.22
170,25631074,9567400,626525,99331,146169397,18,19541,24540,271380,22593015,1881,206992,4152,8.64
171,25772693,9618019,629919,99331,147020700,18,19541,24540,272979,22711774,1881,206992,4152,7.56
172,25928828,9677534,633315,99331,147851466,18,19541,24540,274439,22844685,1881,206992,4152,8.63
173,26069009,9730567,641434,99331,148208957,18,19541,24540,275916,22970825,1881,206992,4152,7.85
174,26256633,9794918,652457,99331,149519615,18,19541,24540,277262,23112134,1881,206992,4152,9.42
175,26419478,9853725,655847,99331,150354438,18,19541,24540,278734,23241964,1881,206992,4152,8.47
176,26587037,9906822,658450,99331,151193662,18,19541,24540,280316,23368029,1881,206992,4152,7.73
177,26754892,9965109,661846,99331,152017784,18,19541,24540,282095,23503697,1881,206992,4152,8.64
178,26893385,10018223,665237,99331,152863776,18,19541,24540,283873,23623668,1881,206992,4152,7.56
179,27036605,10073042,668834,99331,153161993,18,19541,24540,285462,23753048,1881,206992,4152,8.16
period,tiT,experiment_runn,measurer,main,IDLE,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,8282,465,0,99198,4338459,19,19489,24526,3562,701140,1881,206992,4152,0.01
1,12311,1178,11053,99198,4519511,19,19489,24526,4792,714658,1881,206992,4152,0.00
2,13076,1178,13679,99198,5505983,19,19489,24526,5976,726762,1881,206992,4152,0.00
3,69002,19313,16267,99198,6446612,19,19489,24526,7728,775152,1881,206992,4152,1.97
4,210279,98675,19070,99198,7245598,19,19489,24526,9147,932218,1881,206992,4152,10.57
5,394261,167993,21899,99198,8886581,19,19489,24526,10440,1084983,1881,206992,4152,10.39
6,639771,245801,33364,99198,8874667,19,19489,24526,11727,1250124,1881,206992,4152,10.95
7,817618,293735,36487,99198,9721880,19,19489,24526,13386,1371442,1881,206992,4152,7.44
8,986418,331288,39802,99198,11278198,19,19489,24526,14636,1458359,1881,206992,4152,5.31
9,1159464,376845,42617,99198,11469166,19,19489,24526,16464,1574215,1881,206992,4152,7.10
10,1395806,461309,45674,99198,12233178,19,19489,24526,18131,1757488,1881,206992,4152,12.19
11,1579829,508763,48813,99198,13623222,19,19489,24526,19660,1863663,1881,206992,4152,6.68
12,1733911,545795,51694,99198,13979528,19,19489,24526,21215,1957934,1881,206992,4152,5.72
13,1966087,632551,54759,99198,14749490,19,19489,24526,22614,2138473,1881,206992,4152,12.35
14,2095520,642544,58151,99198,15692779,19,19489,24526,24509,2183921,1881,206992,4152,1.55
15,2341967,734547,60955,99198,16438824,19,19489,24526,26029,2385921,1881,206992,4152,13.77
16,2510905,785509,64084,99198,17284857,19,19489,24526,27548,2505337,1881,206992,4152,7.55
17,2618978,786895,67228,99198,18257540,19,19489,24526,29137,2527925,1881,206992,4152,0.20
18,2909145,911516,70520,99198,19162753,19,19489,24526,30427,2780952,1881,206992,4152,17.92
19,3017238,937724,73475,99198,19841831,19,19489,24526,31996,2854136,1881,206992,4152,3.89
20,3199769,985332,76241,99198,20703552,19,19489,24526,33547,2960610,1881,206992,4152,6.59
21,3448783,1083893,78848,99198,21561787,19,19489,24526,35136,3170346,1881,206992,4152,14.41
22,3551610,1105316,81665,99198,22360321,19,19489,24526,36718,3236272,1881,206992,4152,3.25
23,3793441,1195114,89472,99198,23145070,19,19489,24526,38253,3419980,1881,206992,4152,12.43
24,3922026,1228998,92499,99198,24063371,19,19489,24526,39715,3509548,1881,206992,4152,5.30
25,4144436,1314480,95481,99198,24812108,19,19489,24526,41170,3689929,1881,206992,4152,12.14
26,4251116,1326968,103928,99198,25759075,19,19489,24526,42892,3731585,1881,206992,4152,1.49
27,4509753,1441680,107033,99198,26463066,19,19489,24526,44180,3964093,1881,206992,4152,16.41
28,4604296,1451822,110259,99198,27404325,19,19489,24526,45687,4012870,1881,206992,4152,2.03
29,4837971,1547696,113726,99198,28034314,19,19489,24526,47195,4213168,1881,206992,4152,13.90
30,4949959,1573958,116742,99198,29063513,19,19489,24526,48992,4285422,1881,206992,4152,3.70
31,5049208,1592636,119872,99198,29992279,19,19489,24526,50493,4341442,1881,206992,4152,2.59
32,5329853,1716311,122584,99198,30666008,19,19489,24526,51868,4595492,1881,206992,4152,18.17
33,5459893,1768597,126239,99198,31508028,19,19489,24526,53505,4718891,1881,206992,4152,7.43
34,5580387,1798948,128832,99198,32406359,19,19489,24526,54901,4802795,1881,206992,4152,4.96
35,5784057,1876734,131978,99198,33183537,19,19489,24526,56371,4979553,1881,206992,4152,11.81
36,5955748,1943767,135220,99198,33993020,19,19489,24526,57766,5129773,1881,206992,4152,9.67
37,6123138,2006292,138348,99198,34812258,19,19489,24526,59237,5269128,1881,206992,4152,8.82
38,6235363,2059889,141470,99198,35662863,19,19489,24526,60871,5387401,1881,206992,4152,7.55
39,6390893,2119489,144609,99198,36496492,19,19489,24526,62410,5521875,1881,206992,4152,8.63
40,6527947,2176497,147840,99198,37327114,19,19489,24526,63821,5653737,1881,206992,4152,8.53
41,6686682,2228006,150521,99198,38170253,19,19489,24526,65679,5781152,1881,206992,4152,7.66
42,6831066,2287129,153966,99198,38789635,19,19489,24526,67258,5916839,1881,206992,4152,8.63
43,6979435,2345584,156978,99198,39826639,19,19489,24526,68828,6052824,1881,206992,4152,8.64
44,7104785,2397619,159701,99198,40675980,19,19489,24526,70387,6171195,1881,206992,4152,7.56
45,7252505,2455388,162835,99198,41511120,19,19489,24526,71896,6305708,1881,206992,4152,8.63
46,7425475,2514863,168541,99198,42340753,19,19489,24526,73398,6441151,1881,206992,4152,8.64
47,7557256,2567724,171535,99198,43192212,19,19489,24526,75115,6559151,1881,206992,4152,7.55
48,7722357,2627339,174673,99198,44022132,19,19489,24526,76547,6694603,1881,206992,4152,8.63
49,7914424,2684082,177806,99198,44853472,19,19489,24526,78270,6826919,1881,206992,4152,8.58
50,8068585,2735961,180431,99198,45697776,19,19489,24526,79905,6949196,1881,206992,4152,7.62
51,8232098,2796130,183536,99198,46527774,19,19489,24526,81441,7083838,1881,206992,4152,8.64
52,8395709,2848139,186689,99198,47384668,19,19489,24526,83147,7205837,1881,206992,4152,7.56
53,8546906,2908273,189831,99198,48217557,19,19489,24526,84618,7338548,1881,206992,4152,8.63
54,8729860,2966766,198104,99198,49048657,19,19489,24526,86124,7473709,1881,206992,4152,8.64
55,8903875,3021755,208733,99198,49898421,19,19489,24526,87784,7598076,1881,206992,4152,7.98
56,9029423,3079361,211202,99198,50737762,19,19489,24526,89294,7724207,1881,206992,4152,8.20
57,9226525,3137586,214332,99198,51564631,19,19489,24526,90872,7861069,1881,206992,4152,8.64
58,9401768,3196141,217456,99198,52389574,19,19489,24526,92456,7998065,1881,206992,4152,8.64
59,9538047,3246269,220597,99198,53233006,19,19489,24526,94067,8119851,1881,206992,4152,7.56
60,9699819,3298383,228520,99198,53595861,19,19489,24526,95654,8246811,1881,206992,4152,7.84
61,9872991,3364303,239380,99198,54925057,19,19489,24526,97348,8389783,1881,206992,4152,9.43
62,10012969,3418218,242526,99198,55264180,19,19489,24526,98934,8512050,1881,206992,4152,7.85
63,10200747,3477206,248454,99198,56605093,19,19489,24526,100395,8642758,1881,206992,4152,8.34
64,10376522,3534178,251581,99198,57435962,19,19489,24526,101984,8778606,1881,206992,4152,8.63
65,10536694,3584156,254713,99198,58277879,19,19489,24526,103515,8901061,1881,206992,4152,7.56
66,10702181,3640543,257824,99198,58499954,19,19489,24526,105212,9031942,1881,206992,4152,8.11
67,10873063,3699621,262954,99198,59943606,19,19489,24526,106789,9168018,1881,206992,4152,8.80
68,11022715,3760286,269371,99198,60772473,19,19489,24526,108438,9309532,1881,206992,4152,8.87
69,11172107,3818997,280484,99198,61620088,19,19489,24526,110266,9439976,1881,206992,4152,8.30
70,11323205,3871494,283276,99198,62462753,19,19489,24526,111794,9563296,1881,206992,4152,7.89
71,11477818,3923354,286409,99198,63312384,19,19489,24526,113264,9681999,1881,206992,4152,7.56
72,11633260,3981582,289551,99198,64141209,19,19489,24526,114981,9818298,1881,206992,4152,8.63
73,11770840,4036509,292694,99198,64982511,19,19489,24526,116582,9946352,1881,206992,4152,8.22
74,11940072,4100174,295354,99198,65134615,19,19489,24526,118156,10089880,1881,206992,4152,9.05
75,12072944,4153642,298324,99198,66657062,19,19489,24526,119825,10209035,1881,206992,4152,7.56
76,12218508,4213355,301469,99198,67483974,19,19489,24526,121385,10344462,1881,206992,4152,8.63
77,12373172,4271947,304606,99198,68314515,19,19489,24526,123040,10478978,1881,206992,4152,8.63
78,12504673,4323460,307735,99198,69161220,19,19489,24526,124856,10600899,1881,206992,4152,7.56
79,12654950,4362359,311154,99198,69326562,19,19489,24526,126390,10703816,1881,206992,4152,6.13
80,12891682,4440387,314020,99198,70821281,19,19489,24526,127832,10872072,1881,206992,4152,11.14
81,13010510,4492249,317221,99198,71666956,19,19489,24526,129619,10993349,1881,206992,4152,7.55
82,13161843,4549244,320373,99198,72497849,19,19489,24526,131344,11126416,1881,206992,4152,8.49
83,13314145,4613620,323347,99198,73326746,19,19489,24526,132767,11263447,1881,206992,4152,8.78
